track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,2019-01-31,14919491,39,119,emo rap lgbtq+ hip hop,85,2173971,1
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,2019-01-31,14919491,62,119,emo rap lgbtq+ hip hop,85,2173971,1
ICONIC (ft. Jaden Smith),Logic,2018-09-28,3019088,39,79,conscious hip hop dmv rap hip hop pop rap rap,90,3630302,9
IDGAF,Dua Lipa,2017-06-02,87466619,39,24,dance pop pop post-teen pop uk pop,88,11293424,6
IDGAF,Dua Lipa,2017-06-02,87466619,49,24,dance pop pop post-teen pop uk pop,88,11293424,6
IDOL,BTS,2018-08-24,6135067,11,78,k-pop,94,10794042,8
IDOL,BTS,2018-08-24,6135067,39,78,k-pop,94,10794042,8
Ibiza,Ozuna,2018-08-24,1657019,39,165,reggaeton trap latino,95,16444692,8
Ice Melts,Drake,2017-03-18,20635721,39,34,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,3
Ice Melts,Drake,2017-03-18,20635721,62,34,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,3
Ice Tray,Quality Control,2017-12-08,26242048,39,75,hip hop pop pop rap rap southern hip hop trap music,71,295824,12
Ice Tray,Quality Control,2017-12-08,26242048,74,75,hip hop pop pop rap rap southern hip hop trap music,71,295824,12
Iced Out (feat. 2 Chainz),Lil Pump,2017-10-06,1332416,39,177,emo rap miami hip hop trap music,84,5536650,10
"Iced Out My Arms (feat. Future, Migos, 21 Savage & T.I.)",DJ Khaled,2017-06-22,1363780,39,148,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
Icon,Jaden,2017-11-17,15430709,39,120,hip hop pop pop rap rap trap music underground hip hop,78,754776,11
Identity Theft,Kodak Black,2018-12-14,1996692,39,151,miami hip hop rap trap music,88,4655965,12
Idfc,blackbear,2015-02-14,2560235,39,179,pop,83,2048155,2
If I Can't Have You,Shawn Mendes,2019-05-03,9366781,2,4,canadian pop dance pop pop post-teen pop viral pop,91,16547877,5
If I Can't Have You,Shawn Mendes,2019-05-03,9366781,39,4,canadian pop dance pop pop post-teen pop viral pop,91,16547877,5
If I'm Lucky,Jason Derulo,2017-08-31,4526867,39,102,dance pop pop pop rap post-teen pop r&b,83,6747613,8
"If I'm Lyin, I'm Flyin",Kodak Black,2018-12-14,10694443,39,43,miami hip hop rap trap music,88,4655965,12
"If I'm Lyin, I'm Flyin",Kodak Black,2018-12-14,10694443,56,43,miami hip hop rap trap music,88,4655965,12
If You Know You Know,Pusha T,2018-05-25,7072829,39,47,gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,1273324,5
If You Know You Know,Pusha T,2018-05-25,7072829,73,47,gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,1273324,5
If You're Over Me,Years & Years,2018-05-10,3298993,39,159,dance pop gauze pop pop tropical house uk pop,77,1041512,5
Ill Nana (feat. Trippie Redd),DRAM,2017-09-29,1497028,39,151,pop rap rap southern hip hop trap music underground hip hop,71,692786,9
Immortal,J. Cole,2016-12-09,17492582,39,31,conscious hip hop hip hop nc hip hop pop rap rap,90,8232406,12
Immortal,J. Cole,2016-12-09,17492582,82,31,conscious hip hop hip hop nc hip hop pop rap rap,90,8232406,12
In Case You Didn't Know,Brett Young,2017-02-10,63418539,19,102,contemporary country,75,355620,2
In Case You Didn't Know,Brett Young,2017-02-10,63418539,39,102,contemporary country,75,355620,2
In Check,Bryson Tiller,2017-05-26,1396382,39,154,hip hop pop pop rap r&b rap trap music,80,3361954,5
In My Blood,Shawn Mendes,2018-05-25,57471383,11,11,canadian pop dance pop pop post-teen pop viral pop,91,16547877,5
In My Blood,Shawn Mendes,2018-05-25,57471383,39,11,canadian pop dance pop pop post-teen pop viral pop,91,16547877,5
In My Feelings,Drake,2018-06-29,285721379,1,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,6
In My Feelings,Drake,2018-06-29,285721379,39,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,6
In My Head,Ariana Grande,2019-02-08,6721021,38,146,dance pop pop post-teen pop,97,29083674,2
In My Head,Ariana Grande,2019-02-08,6721021,39,146,dance pop pop post-teen pop,97,29083674,2
In My Mind,Dynoro,2018-06-08,24300110,39,55,edm,77,74973,6
In The End,Linkin Park,2000-10-24,5619524,37,46,alternative metal nu metal post-grunge rap metal,87,12295766,10
